disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
2330,,,,,717000.55,717000.55,,2023-10-30T00:00:00.000Z,,,a4209db5efda60841b9145a9cbbb89722ab891fd,2023-10-30T04:22:46.792Z,48a706cb-b8b7-41a0-aa01-ff0905f3f08c
1490,25950,45380866.63,23122365.52,22258501.11,70854431.54,50724584.41,19149915.85,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,4706946,b3308d3726657d7f48331c242e92e0a75a5c68e6,2023-10-30T05:22:57.890Z,a3efba8a-a2f3-4647-8783-bface217f900
2331,,,,,35147.55,35147.55,,2023-10-30T00:00:00.000Z,,,c20a26f1fa22f2b0653fd4a7d1216c0d0725095b,2023-10-30T04:22:46.792Z,e061eb94-279c-46f2-815d-ee4aafd58c9b
1491,29177,57048028.63,33948484.29,23099544.34,204913750.38,178024945.68,27447793.49,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,16387580,639007a634a3d1c9163bee4f186b7514ea69926e,2023-10-30T05:22:57.890Z,caeaf057-c5e5-44a7-bc12-ee42ae06a428
2332,,,,,199185.63,199185.63,,2023-10-30T00:00:00.000Z,,,4ec378dd827fd6c81d046b0356956834a0a26b68,2023-10-30T04:22:46.792Z,a0bbdae6-4af7-4d17-9423-17a258504cc0
2333,,,,,27676.97,27676.97,,2023-10-30T00:00:00.000Z,,,1d12b71daf0abe11534c74e586390418af1d7517,2023-10-30T04:22:46.792Z,bdf89260-e54d-4254-8ffb-4974bc64f49c
2334,,,,,72256.34,72256.34,,2023-10-30T00:00:00.000Z,,,d06808c0b9a7beb9686fe495f56daadd226609c9,2023-10-30T04:22:46.792Z,2d9ece2e-a30a-4283-bcda-79b4065f22cb
2335,,,,,428499.97,428499.97,,2023-10-30T00:00:00.000Z,,,22958bc7ab048842b9202974604656b5f2033aef,2023-10-30T04:22:46.792Z,ed53894b-f464-43f1-95c0-6e5337f4a828
2336,,,,,84382.38,84382.38,,2023-10-30T00:00:00.000Z,,,61f6c314c5c510b02fcd6f3ce03164297bd9d81d,2023-10-30T04:22:46.792Z,c03ee05a-8269-4916-9ddc-2fb43ecba64e
2337,,,,,325803.92,325803.92,,2023-10-30T00:00:00.000Z,,,52a1e73bca4020386b2e122d42af2511d10ec804,2023-10-30T04:22:46.792Z,00d0d2ce-f502-48bd-b054-6090d5e55b99
